Department,Full_Profs_M,Full_Profs_F,# Assoc M,# Assoc F,# Asst M,# Asst F,# Lec/Precep/Adj M,# Lec/Precep/Adj F,# Prof of Practice M,# Prof of Practice F,,URL,Notes,Division,,# Full Profs,% Full Profs F,,# Non-Tenured,# Non-Tenured M,# Non-Tenured F,% Non-Tenured F,,# All Faculty,# Faculty M,# Faculty F,,% Faculty F,% Full Prof F,,,,,,
Statistics,6,3,1,0,2,0,2,0,2,0,,https://statistics.fas.harvard.edu/person-role/department-faculty,,Science,,9,33%,,7,7,0,0%,,16,13,3,,19%,33%,,,,,,
Visual & Environmental Studies,7,3,0,0,2,2,1,3,1,0,,https://ves.fas.harvard.edu/people/people-category/faculty,,Arts & Humanities,,10,30%,,9,4,5,56%,,19,11,8,,42%,30%,,,,,,
Materials Science & Mech Eng,10,4,1,0,1,0,,,,,,https://www.seas.harvard.edu/materials-science-mechanical-engineering/people,,SEAS,,14,29%,,2,2,0,0%,,16,12,4,,25%,29%,,,,,,
Folklore & Mythology,23,8,2,0,0,4,1,3,1,0,,https://folkmyth.fas.harvard.edu/people/taxonomy/term/13446,,Arts & Humanities,,31,26%,,11,4,7,64%,,42,27,15,,36%,26%,,,,,,
Computer Science,18,6,3,1,4,1,1,0,2,0,,https://www.seas.harvard.edu/computer-science/people,,SEAS,,24,25%,,12,10,2,17%,,36,28,8,,22%,25%,,,,,,
Philosophy,12,4,1,0,3,1,1,1,0,0,,https://philosophy.fas.harvard.edu/people/people-terms/department-faculty,,Arts & Humanities,,16,25%,,7,5,2,29%,,23,17,6,,26%,25%,,,,,,
Germanic Langs & Lits,13,4,0,0,0,2,0,2,0,0,,https://german.fas.harvard.edu/our-faculty,,Arts & Humanities,,17,24%,,4,0,4,100%,,21,13,8,,38%,24%,,,,,,
Comparative Literature,18,5,0,0,1,0,0,4,0,0,,https://complit.fas.harvard.edu/people/role/faculty?page=2,,Arts & Humanities,,23,22%,,5,1,4,80%,,28,19,9,,32%,22%,,,,,,
Government,26,7,0,0,4,0,,,,,,https://gov.harvard.edu/people/faculty?page=2,,Social Sciences,,33,21%,,4,4,0,0%,,37,30,7,,19%,21%,,,,,,
Molecular & Cellular Biology,27,7,2,1,1,0,0,0,1,0,,https://www.mcb.harvard.edu/faculty/faculty-profiles/,,Science,,34,21%,,5,4,1,20%,,39,31,8,,21%,21%,,,,,,
Organismic & Evolutionary Biology,27,7,1,0,0,4,3,1,0,0,,https://oeb.harvard.edu/people/people/faculty,,Science,,34,21%,,9,4,5,56%,,43,31,12,,28%,21%,,,,,,
Anthropology,16,4,3,1,1,1,1,2,0,0,,https://anthropology.fas.harvard.edu/faculty,,Social Sciences,,20,20%,,9,5,4,44%,,29,21,8,,28%,20%,,,,,,
South Asian Studies,10,2,0,0,0,0,4,1,0,0,,https://sas.fas.harvard.edu/people/taxonomy/term/18441?page=1,,Arts & Humanities,,12,17%,,5,4,1,20%,,17,14,3,,18%,17%,,,,,,
The Classics,10,2,1,0,2,1,2,1,0,2,,https://classics.fas.harvard.edu/people/people-role/classics-faculty,,Arts & Humanities,,12,17%,,9,5,4,44%,,21,15,6,,29%,17%,,,,,,
Stem Cell & Regenerative Biology,12,2,2,0,1,1,0,0,0,0,,https://hscrb.harvard.edu/RES-Faculty,,Science,,14,14%,,4,3,1,25%,,18,15,3,,17%,14%,,,,,,
Applied Math,14,2,1,0,4,1,0,1,0,0,,https://www.seas.harvard.edu/applied-mathematics/people,,SEAS,,16,13%,,7,5,2,29%,,23,19,4,,17%,13%,,,,,,
Electrical Eng,7,1,1,0,0,2,0,0,0,0,,https://www.seas.harvard.edu/electrical-engineering/people,,SEAS,,8,13%,,3,1,2,67%,,11,8,3,,27%,13%,,,,,,
Social Studies,7,1,0,1,1,0,5,6,0,0,,https://socialstudies.fas.harvard.edu/people?page=3,,Social Sciences,,8,13%,,13,6,7,54%,,21,13,8,,38%,13%,,,,,,
Physics,50,7,2,0,0,4,10,3,0,0,,https://www.physics.harvard.edu/people/faculty,,Science,,57,12%,,19,12,7,37%,,76,62,14,,18%,12%,,,,,,
Chemistry & Chemical Biology,22,3,0,1,0,0,7,2,0,0,,https://chemistry.harvard.edu/people/faculty-lecturers/faculty,,Science,,25,12%,,10,7,3,30%,,35,29,6,,17%,12%,,,,,,
Earth & Planetary Sciences,22,3,0,0,2,2,0,0,0,0,,https://eps.harvard.edu/people/people/faculty?page=2,,Science,,25,12%,,4,2,2,50%,,29,24,5,,17%,12%,,,,,,
Astronomy,15,2,0,1,0,0,2,0,0,0,,https://astronomy.fas.harvard.edu/people/filter_by/faculty,,Science,,17,12%,,3,2,1,33%,,20,17,3,,15%,12%,,,,,,
Biomedical Engineering,15,2,2,0,1,0,0,0,1,0,,https://www.seas.harvard.edu/bioengineering/people,,SEAS,,17,12%,,4,4,0,0%,,21,19,2,,10%,12%,,,,,,
Near Eastern Langs & Civs,11,1,0,0,2,1,8,7,1,0,,https://nelc.fas.harvard.edu/people/taxonomy/term/7156,,Arts & Humanities,,12,8%,,19,11,8,42%,,31,22,9,,29%,8%,,,,,,
Economics,40,3,1,0,2,2,3,2,0,1,,https://economics.harvard.edu/people/people-type/faculty?page=3,,Social Sciences,,43,7%,,11,6,5,45%,,54,46,8,,15%,7%,,,,,,
Environmental Science & Eng,13,0,1,1,1,0,,,,,,https://www.seas.harvard.edu/environmental-science-engineering/people,,SEAS,,13,0%,,3,2,1,33%,,16,15,1,,6%,0%,,,,,,
Linguistics,5,0,1,1,0,1,,,,,,https://linguistics.fas.harvard.edu/people/faculty,,Arts & Humanities,,5,0%,,3,1,2,67%,,8,6,2,,25%,0%,,,,,,
Math,19,0,0,0,0,0,0,0,0,1,,http://www.math.harvard.edu/people/senior.html#B,,Science,,19,0%,,1,0,1,100%,,20,19,1,,5%,0%,,,,,,
